part,quantity_for_4_impact_rollers,material_or_spec
Aplus_outer_cheek_7075T6,4,"7075-T6 aluminum, 5 mm"
Aplus_shoulder_axle_D5_L25_M4,4,ground and hardened steel
Aplus_roller_bushing_ID5_OD6_L10,4,steel-backed PTFE composite
Aplus_inner_plate_reducer_ID5_OD6_L8,4,precision steel
Aplus_thrust_washer_ID5p2_OD9_T0p5,8,hardened stainless steel
Aplus_outer_axial_spacer_ID5p2_OD9_T1p3,4,hardened stainless steel
Aplus_standoff_OD8_ID4p3_L12p0,8,high-strength steel
Aplus_standoff_fastener_M4x25,8,M4 x 25 class 12.9 cylindrical thread representation
Aplus_axle_lockwasher_M4,4,hardened stainless steel
Aplus_axle_locknut_M4,4,M4 all-metal locknut representation
