update,timesteps,completed_episodes,mean_completed_return,partial_return,policy_loss,value_loss,entropy
1,2048,7,320.72966778187026,116.85686213708054,-0.009729369741398841,192.50373001098632,2.931761568784714
2,4096,3,494.4868922863802,898.1695174126747,-0.015714613877935334,168.98415613174438,2.9313914656639097
3,6144,9,364.0127025243112,38.993256546115205,-0.014956261531915515,202.83543825149536,2.9220772117376326
4,8192,5,410.42751646902605,295.07735460239167,-0.015989150127279573,167.37543239593506,2.9109774440526963
5,10240,6,365.31077646189755,141.12075914220154,-0.008319224213482811,115.06134691238404,2.9061629474163055
6,12288,5,359.37447556676693,592.9208373523118,-0.01048868421348743,132.1609435081482,2.922947236895561
7,14336,6,413.7565549837257,99.88949986456835,-0.009233771677827463,61.89301233291626,2.92677226960659
8,16384,6,326.26576235070326,429.5945160906211,0.010665119488839992,189.23220720291138,2.9183985888957977
9,18432,3,662.495525803337,506.0536270437864,0.00402976602781564,60.27693090438843,2.9400540053844453
10,20480,4,596.9883787808225,257.2675062476525,0.07148955932352692,85.76659169197083,2.917615461349487
11,22528,6,425.5413910570299,232.03630612269671,0.029587785131298006,181.72284202575685,2.935160058736801
12,24576,4,415.88031378234456,546.4262681374527,0.011276503838598729,96.43059523105622,2.9440505862236024
13,26624,11,256.30253981655676,62.523140699404955,-0.012817051960155368,303.6641714096069,2.956807976961136
14,28672,5,301.02353186826804,891.9555503585462,-0.015372030792059376,104.80033044815063,2.964684012532234
15,30720,6,457.8444018514942,498.0853008808782,-0.01574865182628855,85.55441932678222,2.973015895485878
16,32768,5,549.835736870707,27.295812839023277,-0.01508911004930269,58.17236734628678,2.9827912569046022
17,34816,5,410.3054880618236,188.76021480104376,-0.015913732297485696,75.71679844856263,2.9976040691137316
18,36864,6,334.81898041281113,719.6727990659168,-0.018009040370816364,105.58447420597076,3.0124819546937944
19,38912,6,368.6771163087015,848.4044279287704,-0.016137470171088353,202.87914342880248,3.0194511353969573
20,40960,4,578.2426511526656,823.3955793589029,-0.014311332914803642,99.34008615016937,3.021213075518608
21,43008,4,699.7348201754121,574.6647175547314,-0.011457718734163791,12.98927862048149,3.031118932366371
22,45056,3,941.2625873733981,117.94284377863804,0.0006995904201176018,7.32166443169117,3.038031613826752
23,47104,5,515.750298023219,158.82360511320496,-0.014704645849997177,158.31865425109862,3.0131449311971665
24,49152,5,449.0219188015156,130.5221736331603,-0.014410541561665014,142.78988568782808,3.0121655642986296
25,51200,3,587.4538222342891,863.6059574765837,-0.010095763299614192,63.82977811098099,3.0183554768562315
26,53248,5,677.7168903216653,30.219142469467016,-0.013673216907773168,84.29778802394867,3.0216354608535765
27,55296,4,596.0705096435303,97.38988021800881,-0.014365373086184264,19.250075727701187,3.025177702307701
28,57344,3,618.785864939898,821.8477899291606,-0.014022740290965886,43.69845908880234,3.0333675652742387
29,59392,7,410.9250250208823,105.06457399089625,-0.013935589767061173,158.05734567642213,3.043427142500877
30,61440,4,623.0304753112977,75.74640831234905,-0.01658229064778425,18.45617821216583,3.037919157743454
31,63488,4,644.225255502345,7.529294409554049,-0.0114249934500549,71.17948211431504,3.0281620979309083
32,65536,4,517.8336664312602,351.4956526195801,-0.018955074110999705,73.6680361032486,3.0287284016609193
33,67584,6,396.3711694464584,312.22621860954956,-0.014548631326761097,81.83391852378845,3.023957496881485
34,69632,3,606.5085687745303,837.9348765232268,-0.013880401797359809,46.561798858642575,3.0214454919099807
35,71680,9,333.24268634313444,305.4572798736549,-0.015920280892169104,129.70184135437012,3.0185331255197525
36,73728,7,330.86347554420126,527.5683156295241,-0.012762076110811904,179.27796773910524,3.017671975493431
37,75776,4,671.569135750936,224.15454175577543,-0.011040882597444578,82.36237326860427,3.0152662217617037
38,77824,3,829.1026909729738,100.32112727977068,-0.0020307887461967766,9.773958504199982,3.0159280627965925
39,79872,2,939.5821788020935,585.0180301086212,-0.007648717984557152,3.749058350920677,3.0170953273773193
40,81920,4,581.7623820640695,573.0692975341055,-0.008537958626402543,87.50988318920136,3.0110197246074675
41,83968,6,380.4083852867687,741.8510937501309,-0.01600541170628276,58.89263277053833,3.0148656219244003
42,86016,6,461.11219470906616,436.471321212932,-0.017729024798609317,110.36766490936279,3.016781431436539
43,88064,3,714.6507710718993,496.697570369181,-0.006959581939736381,16.127255403995512,3.0159237891435624
44,90112,6,414.9119322343704,315.1951473426274,-0.014777323776797857,163.69757776260377,3.0002820819616316
45,92160,6,364.87870696700594,515.1501122370215,-0.013846052740700544,87.76869995594025,2.9979727268218994
46,94208,5,563.3245384201364,142.5947832207729,-0.017096255178330466,83.12543971538544,3.008288210630417
47,96256,6,389.0069832180605,480.18374439657146,-0.017525868548545986,123.73534369468689,3.0166040152311324
48,98304,4,601.8797237696075,587.4757316753911,-0.017077396748936734,40.274260187149046,3.005218905210495
49,100352,4,732.2843498200126,61.18542833592623,-0.013775019068270921,55.49584085941315,2.982304972410202
50,102400,6,372.35756010364395,123.52074714789688,-0.014325251383706928,136.43949689865113,2.979672741889954
51,104448,4,549.3129286011366,364.631244743542,-0.013078232720727102,87.18987402915954,2.9640308737754824
52,106496,5,454.78188904815306,417.82300755006503,-0.013666082551935688,97.57733850479126,2.9387744784355165
53,108544,7,395.49466090549856,53.1357520336403,-0.015814926545135676,114.92563827037812,2.9376941502094267
54,110592,7,295.557362421826,203.13618347624688,-0.013777715366450139,256.4906273841858,2.9372757732868195
55,112640,4,635.8209795917755,171.1239184805618,-0.018476899643428624,76.35902163982391,2.926441618800163
